LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID46561,46561,1,245.3592529296875,24.329570071817006,7.297565497897109,1.0754555972836015,3.504388235294118,9,0.25,1,,1256.6708860759493,1159.0,0.0,2794.0,99277.0,739.1746214965647,0.32773191830868986,0.8392915411949837
ID46532,46532,1,238.84014892578125,24.240070869791616,7.475242791760391,1.0366345423287506,3.1150117647058826,8,0.25,1,,1152.7088607594937,1135.0,0.0,2396.0,91064.0,578.2712111444154,0.35871004670985146,1.052530789997924
ID46565,46565,1,147.22662353515625,23.891702803566375,7.674183160608136,1.0398396977073385,4.672517647058823,12,0.25,1,,970.0632911392405,910.0,98.0,2116.0,76635.0,474.2510787404341,0.30895982727012794,0.9656003940554342
ID46503,46503,1,251.9681396484375,24.04440429356422,6.796736943766915,1.361616526671855,1.9468823529411767,5,0.25,1,,1271.2151898734178,1238.0,18.0,3459.0,100426.0,719.9511855048919,0.3581519811995823,0.9312472527434098
ID46539,46539,1,263.88421630859375,24.027442810359645,7.0932935148603535,1.1709919887921965,2.3362588235294117,6,0.25,1,,1179.987341772152,1087.0,0.0,2903.0,93219.0,733.7199824580409,0.4010803144409818,0.920757601012584
ID46509,46509,1,230.988525390625,23.528829368854602,6.488767942461261,1.6228917330603891,0.0,0,0.25,1,,1348.9240506329113,1260.0,169.0,3053.0,106565.0,719.2539363305366,0.3474848210647277,0.9672688521805632
ID46544,46544,1,205.01214599609375,23.91246796347176,6.868003904928097,1.162356450086702,1.1681294117647059,3,0.25,1,,1198.759493670886,1054.0,47.0,2973.0,94702.0,740.2973106001342,0.3378017581562689,0.8177603074180868
ID46578,46578,1,249.1478271484375,24.03849642488885,7.881905585950791,0.6091245540488511,5.061894117647059,13,0.25,1,,1086.8354430379748,832.0,43.0,3966.0,85860.0,830.6927357885035,0.4155207209045028,0.7681213393176987
ID46517,46517,1,194.4075927734375,23.741571908311442,6.778704057085416,1.935997905670679,0.3893764705882353,1,0.25,1,,1129.0506329113923,1134.0,253.0,2009.0,89195.0,394.8817381786985,0.32582508834618595,1.4053181437428295
ID46550,46550,1,176.6361083984375,24.118226801519988,7.583292063360087,1.264414773718964,3.8937647058823535,10,0.25,1,,916.7721518987341,836.0,0.0,2094.0,72425.0,476.5239507357392,0.3389809602447265,0.9741090507542911
ID46521,46521,1,182.037353515625,23.850979294860366,6.8035800506972866,1.8417482931656304,0.7787529411764706,2,0.25,1,,948.3544303797469,867.0,159.0,2156.0,74920.0,475.3200551416527,0.3129813680181847,0.9512057249882572
ID46555,46555,1,256.2154541015625,24.28415848322687,7.351734024941268,1.3712524942603963,2.725635294117647,7,0.25,1,,1217.1772151898733,1004.0,231.0,2841.0,96157.0,621.0062710673426,0.31588131079266957,0.9410117290481804
ID46494,46494,1,213.5482177734375,23.890961185659865,7.50214035181996,0.7889053141502403,4.283141176470589,11,0.25,1,,1166.860759493671,941.0,0.0,3051.0,92182.0,753.277926272682,0.3051159414320723,0.7242851717699799
ID46527,46527,1,302.4739990234375,24.066312045623697,6.956698309327061,1.0560159221173078,1.5575058823529413,4,0.25,1,,1368.1645569620252,1229.0,184.0,3677.0,108085.0,883.7251926722375,0.38170744525487127,0.8553928755203742
ID46529,46529,2,190.786865234375,24.93499817847224,14.176520687728562,1.4966849672559865,1.5575058823529413,4,0.25,1,,1307.0506329113923,1339.0,404.0,2287.0,103257.0,480.3208569368695,0.2699992847090581,1.1570445985993427
ID46497,46497,2,185.7398681640625,24.892039323676716,14.702864214009178,1.999450710588595,4.283141176470589,11,0.25,1,,1172.392405063291,1036.0,132.0,2666.0,92619.0,610.6167419769974,0.2418557434203402,0.7478586811219794
ID46563,46563,2,189.37762451171875,24.96498037520077,14.643346505175696,1.5975983599608317,3.504388235294118,9,0.25,1,,1065.4683544303798,1026.0,14.0,2805.0,84172.0,591.574232623149,0.30986894831143713,0.8521411012637423
ID46595,46595,2,193.9757080078125,24.349647164312138,13.698547575711983,2.996497963188515,7.787529411764707,20,0.25,1,,852.8987341772151,718.0,0.0,2959.0,67379.0,666.3178111916247,0.41720363583133324,0.7536364059393664
ID46534,46534,2,150.3372802734375,24.774401287474586,14.647542835366238,1.3966757336721334,3.1150117647058826,8,0.25,1,,826.5822784810126,767.0,0.0,1848.0,65300.0,478.36453773662265,0.3753663226300649,0.9431787956456644
ID46504,46504,2,200.881103515625,24.926966438030075,14.353593072974046,1.9945649223146302,1.9468823529411767,5,0.25,1,,943.4177215189874,773.0,5.0,2901.0,74530.0,636.2016211538953,0.3670183639937182,0.7962559679772704
ID46568,46568,2,244.7413330078125,24.965825433071974,14.582350876662575,2.083741160132848,4.672517647058823,12,0.25,1,,1189.493670886076,1056.0,0.0,3249.0,93970.0,723.1730805599778,0.2545538620998518,0.6674830757312226
ID46600,46600,2,242.19921875,24.52430744806874,13.82549523620987,2.567904066522396,7.008776470588236,18,0.25,1,,995.3291139240506,852.0,45.0,3449.0,78631.0,710.7556780533675,0.41853067280706685,0.8263517022300886
ID46540,46540,2,203.8836669921875,25.082906861012713,14.611176119555138,2.5141349717862127,2.3362588235294117,6,0.25,1,,975.5949367088608,971.0,0.0,2524.0,77072.0,572.7440811899648,0.2937503791214235,0.7735116681043689
